Run;Threshold;Margin;Boxes;Padding;Cars_4excl;Cars_Only;Clothes_4excl;Clothes_Only;Cosmetics_4excl;Cosmetics_Only;Electronics_4excl;Electronics_Only;Furniture_4excl;Furniture_Only
run_1_th0.2_mg0.0_noboxes_pad0.5;0.2;0.0;False;0.5;0.3214;0.3163;0.3123;0.3526;0.3287;0.2871;0.3367;0.2552;0.3028;0.3907
run_2_th0.2_mg0.0_noboxes_pad1.0;0.2;0.0;False;1.0;0.3198;0.3206;0.3129;0.3484;0.3282;0.2871;0.3362;0.2552;0.3028;0.3887
run_3_th0.2_mg0.0_boxes_pad0.5;0.2;0.0;True;0.5;0.3186;0.3269;0.3124;0.352;0.3289;0.2858;0.3359;0.258;0.3057;0.3787
run_4_th0.2_mg0.0_boxes_pad1.0;0.2;0.0;True;1.0;0.3204;0.3236;0.3114;0.3595;0.3303;0.284;0.3372;0.2566;0.3059;0.3815
run_5_th0.2_mg0.1_noboxes_pad0.5;0.2;0.1;False;0.5;0.323;0.3284;0.3184;0.3466;0.3305;0.2983;0.34;0.2603;0.3084;0.3868
run_6_th0.2_mg0.1_noboxes_pad1.0;0.2;0.1;False;1.0;0.3242;0.3271;0.3189;0.348;0.3317;0.2968;0.3401;0.2632;0.3087;0.3888
run_7_th0.2_mg0.1_boxes_pad0.5;0.2;0.1;True;0.5;0.3199;0.3383;0.3172;0.3491;0.3336;0.2835;0.3388;0.2629;0.3084;0.3842
run_8_th0.2_mg0.1_boxes_pad1.0;0.2;0.1;True;1.0;0.3225;0.335;0.3187;0.3499;0.3343;0.2878;0.3404;0.2631;0.309;0.389
run_9_th0.2_mg0.2_noboxes_pad0.5;0.2;0.2;False;0.5;0.3231;0.3302;0.3162;0.3577;0.3319;0.2948;0.3415;0.2565;0.3098;0.3834
run_10_th0.2_mg0.2_noboxes_pad1.0;0.2;0.2;False;1.0;0.322;0.3302;0.3168;0.3507;0.3308;0.2948;0.3396;0.2598;0.3089;0.3826
run_11_th0.2_mg0.2_boxes_pad0.5;0.2;0.2;True;0.5;0.3205;0.3335;0.3183;0.342;0.3306;0.2931;0.338;0.2634;0.308;0.3834
run_12_th0.2_mg0.2_boxes_pad1.0;0.2;0.2;True;1.0;0.3233;0.3342;0.3201;0.347;0.3336;0.2931;0.3399;0.2679;0.3106;0.3854
run_13_th0.3_mg0.0_noboxes_pad0.5;0.3;0.0;False;0.5;0.3184;0.3122;0.3055;0.3638;0.3264;0.2799;0.3354;0.244;0.3;0.3857
run_14_th0.3_mg0.0_noboxes_pad1.0;0.3;0.0;False;1.0;0.3202;0.3064;0.3064;0.362;0.3257;0.2848;0.3347;0.2484;0.3004;0.3857
run_15_th0.3_mg0.0_boxes_pad0.5;0.3;0.0;True;0.5;0.3156;0.3125;0.3038;0.3597;0.3229;0.2832;0.3324;0.2453;0.3001;0.3744
run_16_th0.3_mg0.0_boxes_pad1.0;0.3;0.0;True;1.0;0.3148;0.3164;0.3047;0.3567;0.3244;0.2783;0.3314;0.2499;0.3003;0.3744
run_17_th0.3_mg0.1_noboxes_pad0.5;0.3;0.1;False;0.5;0.3176;0.3226;0.3106;0.3503;0.325;0.2928;0.3362;0.2479;0.3034;0.3792
run_18_th0.3_mg0.1_noboxes_pad1.0;0.3;0.1;False;1.0;0.3203;0.3201;0.3109;0.3576;0.3271;0.2928;0.3383;0.2478;0.3046;0.3829
run_19_th0.3_mg0.1_boxes_pad0.5;0.3;0.1;True;0.5;0.3186;0.324;0.3115;0.3524;0.3283;0.2855;0.3366;0.2523;0.3036;0.3843
run_20_th0.3_mg0.1_boxes_pad1.0;0.3;0.1;True;1.0;0.3195;0.3311;0.3138;0.3538;0.3309;0.2855;0.3385;0.2551;0.3064;0.3835
run_21_th0.3_mg0.2_noboxes_pad0.5;0.3;0.2;False;0.5;0.3232;0.3239;0.3128;0.3657;0.3313;0.2915;0.3419;0.2492;0.3076;0.3864
run_22_th0.3_mg0.2_noboxes_pad1.0;0.3;0.2;False;1.0;0.3217;0.3239;0.3117;0.3641;0.3298;0.2915;0.3415;0.2448;0.3061;0.3864
run_23_th0.3_mg0.2_boxes_pad0.5;0.3;0.2;True;0.5;0.3186;0.3275;0.3131;0.3495;0.3294;0.2841;0.3378;0.2506;0.3029;0.3901
run_24_th0.3_mg0.2_boxes_pad1.0;0.3;0.2;True;1.0;0.3196;0.3242;0.3134;0.3492;0.3296;0.2841;0.3369;0.2551;0.3031;0.3901
run_25_th0.4_mg0.0_noboxes_pad0.5;0.4;0.0;False;0.5;0.317;0.3049;0.3039;0.3575;0.3213;0.2877;0.334;0.237;0.2968;0.3859
run_26_th0.4_mg0.0_noboxes_pad1.0;0.4;0.0;False;1.0;0.3193;0.3045;0.3057;0.3588;0.3235;0.2877;0.3362;0.237;0.297;0.3938
run_27_th0.4_mg0.0_boxes_pad0.5;0.4;0.0;True;0.5;0.3147;0.3066;0.3021;0.3569;0.3208;0.282;0.3321;0.237;0.2957;0.3827
run_28_th0.4_mg0.0_boxes_pad1.0;0.4;0.0;True;1.0;0.3175;0.3066;0.3044;0.3589;0.3234;0.2829;0.3328;0.2452;0.2984;0.3829
run_29_th0.4_mg0.1_noboxes_pad0.5;0.4;0.1;False;0.5;0.3186;0.3114;0.3088;0.3506;0.3226;0.2954;0.3368;0.2386;0.299;0.3898
run_30_th0.4_mg0.1_noboxes_pad1.0;0.4;0.1;False;1.0;0.3177;0.3119;0.3078;0.3517;0.323;0.2905;0.336;0.2387;0.2982;0.3898
run_31_th0.4_mg0.1_boxes_pad0.5;0.4;0.1;True;0.5;0.319;0.3215;0.3101;0.3571;0.3282;0.2847;0.3377;0.2468;0.3025;0.3873
